질문,답변
투기과열지구에서 공급되는 주택의 재당첨 제한 대상에 해당하는 주택 유형은 무엇인가요?,"투기과열지구에서 공급되는 주택 중 재당첨 제한 대상에 해당하는 주택 유형은 「주택공급에 관한 규칙」 제54조제1항제1호에 따라, 제3조제2항제1호·제2호·제4호·제6호, 같은 항 제7호 가목(투기과열지구에서 공급되는 주택으로 한정한다) 및 같은 항 제8호의 주택입니다. 이에 해당하는 주택은 「도시 및 주거환경정비법」에 따른 정비사업 또는 「빈집 및 소규모주택 정비에 관한 특례법」에 따른 가로주택정비사업, 소규모재건축사업으로 건설되는 주택으로서 해당 법률에 따른 관리처분계획 또는 사업시행계획에 따라 토지 등 소유자 또는 조합원에게 공급하는 주택을 말합니다. - [page_68.png]\n"
2018년 5월 4일 이전에 관리처분계획인가를 받거나 신청한 정비사업의 조합원에게 재당첨 제한이 적용되나요?,"아니요, 2018년 5월 4일 이전에 관리처분계획인가를 받거나 신청한 정비사업의 조합원에게는 재당첨 제한이 적용되지 않습니다. 「주택공급에 관한 규칙」 부칙 제6조(재당첨 제한에 관한 경과조치)에 따라, 이러한 사업으로 건설되는 주택을 공급받는 경우에는 제54조의 개정규정에도 불구하고 종전의 규정을 따르도록 규정하고 있기 때문입니다. - [page_68.png], [page_69.png]\n"
"투기과열지구 및 청약과열지역에서 국민주택, 민영주택 일반공급 청약 시 당첨자 및 그 세대원에게 적용되는 제한은 무엇인가요?","투기과열지구 및 청약과열지역에서 국민주택, 민영주택 일반공급 청약 시 당첨자 및 그 세대원은 5년간 1순위 청약이 제한됩니다. 이는 관리처분계획인가일 당시 입주대상자로 확정된 자가 당첨자로 관리되기 때문에 적용되는 제한입니다. - [page_69.png]\n"
비투기과열지구 또는 비청약과열지역에서 가점제로 부부가 동시에 청약하는 경우 중복 당첨이 가능한가요?,"네, 비투기과열지구 또는 비청약과열지역에서 가점제로 부부가 동시에 청약하는 경우, 가점제 당첨사실이 없는 경우에는 중복 당첨이 가능합니다. 입주자 모집공고일을 기준으로 가점제 재당첨 제한 여부를 판단하며, 가점제 당첨 이력이 없다면 청약이 가능합니다. - [page_69.png]\n"
한국부동산원 청약홈에서 확인할 수 있는 청약 관련 정보는 무엇인가요?,"한국부동산원 청약홈(www.applyhome.co.kr) 누리집에서는 재당첨제한, 투기과열지구 및 청약과열지역에서의 1순위 청약제한 등의 청약 관련 정보를 확인할 수 있습니다. 이는 청약을 신청하기 전에 해당 지역의 청약 자격 및 제한 사항을 확인하는 데 유용합니다. - [page_69.png]"
세대 내에서 20제곱미터 이하의 주택을 2호 이상 소유하고 있을 때 무주택으로 인정받을 수 있나요?,"아니요, 세대 내에서 20제곱미터 이하의 주택을 2호 또는 2세대 이상 소유하고 있는 경우에는 제53조제5호에 따라 무주택으로 인정받을 수 없습니다. 이 규정은 20제곱미터 이하의 주택을 1호 또는 1세대만 소유하고 있는 경우에만 적용됩니다. - [page_45.png]\n"
세대 내에서 20제곱미터 이하의 주택과 소형저가주택을 동시에 소유하고 있을 때 주택 수를 어떻게 판단하나요?,"세대 내에서 20제곱미터 이하의 주택과 소형저가주택을 동시에 소유하고 있는 경우, 제53조제5호와 제9호의 규정을 각각 적용하여 무주택 세대로 인정됩니다. 즉, 각 호의 규정에 따라 주택 수를 별도로 계산하여 무주택 세대로 판단합니다. - [page_45.png]\n"
상가주택의 경우 면적을 어떻게 산정하나요?,"상가주택의 경우, 주택부분의 면적(전용면적)이 20제곱미터 이하인 경우에는 공급규칙 제53조제5호에 따라 주택을 소유하지 않은 것으로 볼 수 있습니다. 이는 주택과 상가가 혼합된 상가주택에 대한 면적 산정 방법입니다. - [page_45.png]\n"
60세 이상의 직계존속이 주택을 소유하고 있을 때 노부모 특별공급 신청 시 무주택으로 인정되나요?,"아니요, 공급규칙 제53조 단서조항에 따르면 공공임대주택의 공급, 제46조, 「공공주택 특별법 시행규칙」 별표 6 제2호라목에 따른 특별공급의 경우 무주택세대구성원에 해당하는지 여부를 판단할 때에는 60세 이상의 직계존속이 주택을 소유하고 있는 경우에도 제6호를 적용하지 않으므로 무주택으로 인정되지 않습니다. - [page_45.png]\n"
개인주택사업자가 사업주체로부터 부적격자로 통보받은 경우 어떤 조치를 취해야 하나요?,"개인주택사업자가 사업주체로부터 제52조제3항에 따른 부적격자로 통보받은 경우, 통보받은 날부터 3개월 이내에 주택을 처분해야 합니다. 이는 개인주택사업자가 분양을 목적으로 주택을 건설하여 분양 완료하였거나 부적격자로 통보받은 경우에 적용되는 조치입니다. - [page_44.png]"
"지역주택조합 조합원이 당첨자로 관리되는 경우, 어떤 제한을 받게 되나요?","지역주택조합 조합원이 당첨자로 관리되는 경우, 투기과열지구 및 청약과열지역에서 국민주택, 민영주택 일반공급 청약 시 5년간 1순위 청약이 제한됩니다. 이는 「주택공급에 관한 규칙」 제2조 제7호 가목에 따라 사업계획 승인일 당시 입주대상자로 확정된 자가 당첨자로 관리되기 때문입니다. - [page_62.png]\n"
관리처분계획인가일 이후 정비사업 입주권을 양도받은 자도 당첨자로 관리되나요?,"관리처분계획인가일 이후 정비사업 입주권을 양도받은 자는 당첨자로 관리되지 않습니다. 당첨자로 관리되는 것은 관리처분계획인가일 당시 입주대상자로 확정된 자에 한정됩니다. 다만, 정비사업조합의 경우, 토지 등 소유자가 보류지나 체비지 물량을 관리처분계획인가일 이후에 공급받아 시·군·구청장이 주택청약업무 수행기관(한국부동산원)에 당첨자로 통보한 자는 당첨자로 관리됩니다. - [page_62.png]\n"
당첨자 명단에서 삭제될 수 있는 경우는 어떤 경우인가요?,"당첨자 명단에서 삭제될 수 있는 경우는 「주택공급에 관한 규칙」 제57조 제4항에 따라 세대주 또는 세대원 중 1인이 취학, 질병, 요양, 근무상 또는 생업상의 사정으로 세대원 전원이 다른 주택건설지역으로 퇴거함으로써 계약을 체결하지 않았거나 해약한 경우입니다. - [page_62.png]\n"
조합원 분양이 미정인 상태에서 당첨자 명단이 확정되면 어떻게 처리되나요?,"조합원 분양이 미정인 상태에서 당첨자 명단이 확정되면, 사업주체는 별지 제8호서식에 따라 당첨자 명단을 지체 없이 주택청약업무수행기관(한국부동산원)에 통보해야 합니다. 동호수가 확정되지 않았더라도, 통보서 상의 당첨자 발표일에 당첨된 것으로 간주됩니다. - [page_61.png, page_62.png]\n"
도시형 생활주택과 함께 건축되는 주택에 적용되는 청약 규칙은 어떻게 다른가요?,"도시형 생활주택과 함께 건축되는 주택에는 「주택공급에 관한 규칙」 제3조제2항제9호에 따라 일반 주택에 적용되는 모든 규칙이 아닌, 제15조, 제16조, 제18조부터 제22조까지, 제32조 제1항, 제59조제2항부터 제5항까지의 규칙만 적용됩니다. 이는 도시형 생활주택과 도시형 생활주택외의 주택을 하나의 건축물로 함께 건축하는 경우에 해당하는 특별한 규정입니다. - [page_61.png]"
